index,title,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross,combined
95,Full Metal Jacket ,"Drama; 
War",10 July 1987,8.3,StanleyKubrick,Matthew Modine;Adam Baldwin;Vincent D'Onofrio;R. Lee Ermey;Dorian Harewood;Kevyn Major Howard;Arliss Howard;Ed O'Ross;John Terry;Kieron Jecchinis;Kirk Taylor;Tim Colceri;Jon Stafford;Bruce Boa;Ian Tyler,30000000.0,116.0,,"Drama; 
War 8.3 StanleyKubrick Matthew Modine;Adam Baldwin;Vincent D'Onofrio;R. Lee Ermey;Dorian Harewood;Kevyn Major Howard;Arliss Howard;Ed O'Ross;John Terry;Kieron Jecchinis;Kirk Taylor;Tim Colceri;Jon Stafford;Bruce Boa;Ian Tyler"
96,To Kill a Mockingbird ,"Crime; 
Drama",16 March 1963,8.3,RobertMulligan,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy;Ruth White;Brock Peters;Estelle Evans;Paul Fix;Collin Wilcox Paxton;James Anderson;Alice Ghostley;Robert Duvall;William Windom;Crahan Denton;Richard Hale,2000000.0,129.0,,"Crime; 
Drama 8.3 RobertMulligan Gregory Peck;John Megna;Frank Overton;Rosemary Murphy;Ruth White;Brock Peters;Estelle Evans;Paul Fix;Collin Wilcox Paxton;James Anderson;Alice Ghostley;Robert Duvall;William Windom;Crahan Denton;Richard Hale"
97,Ladri di biciclette ,Drama,24 November 1948,8.3,VittorioDeSica,Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri;Gino Saltamerenda;Giulio Chiari;Vittorio Antonucci;Michele Sakara;Fausto Guerzoni;Emma Druetti;Carlo Jachino,133000.0,89.0,,Drama 8.3 VittorioDeSica Lamberto Maggiorani;Enzo Staiola;Lianella Carell;Elena Altieri;Gino Saltamerenda;Giulio Chiari;Vittorio Antonucci;Michele Sakara;Fausto Guerzoni;Emma Druetti;Carlo Jachino
98,The Kid ,"Comedy; 
Drama; 
Family",6 February 1921,8.3,CharlesChaplin,Carl Miller;Edna Purviance;Jackie Coogan;Charles Chaplin,250000.0,68.0,,"Comedy; 
Drama; 
Family 8.3 CharlesChaplin Carl Miller;Edna Purviance;Jackie Coogan;Charles Chaplin"
99,The Sting ,"Comedy; 
Crime; 
Drama",25 December 1973,8.3,GeorgeRoyHill,Paul Newman;Robert Redford;Robert Shaw;Charles Durning;Ray Walston;Eileen Brennan;Harold Gould;John Heffernan;Dana Elcar;Jack Kehoe;Dimitra Arliss;Robert Earl Jones;James Sloyan;Charles Dierkop;Lee Paul,5500000.0,129.0,,"Comedy; 
Crime; 
Drama 8.3 GeorgeRoyHill Paul Newman;Robert Redford;Robert Shaw;Charles Durning;Ray Walston;Eileen Brennan;Harold Gould;John Heffernan;Dana Elcar;Jack Kehoe;Dimitra Arliss;Robert Earl Jones;James Sloyan;Charles Dierkop;Lee Paul"
100,Good Will Hunting ,"Drama; 
Romance",9 January 1998,8.3,GusVanSant,Matt Damon;Ben Affleck;Stellan Skarsgård;John Mighton;Rachel Majorowski;Colleen McCauley;Casey Affleck;Cole Hauser;Matt Mercier;Ralph St. George;Rob Lynds;Dan Washington;Alison Folland;Derrick Bridgeman;Vik Sahay,10000000.0,126.0,225933435.0,"Drama; 
Romance 8.3 GusVanSant Matt Damon;Ben Affleck;Stellan Skarsgård;John Mighton;Rachel Majorowski;Colleen McCauley;Casey Affleck;Cole Hauser;Matt Mercier;Ralph St. George;Rob Lynds;Dan Washington;Alison Folland;Derrick Bridgeman;Vik Sahay"
101,Toy Story 3 ,,18 June 2010,8.3,LeeUnkrich,Tom Hanks;Tim Allen;Joan Cusack;Ned Beatty;Don Rickles;Michael Keaton;Wallace Shawn;John Ratzenberger;Estelle Harris;John Morris;Jodi Benson;Emily Hahn;Laurie Metcalf;Blake Clark;Teddy Newton,200000000.0,103.0,1063171911.0, 8.3 LeeUnkrich Tom Hanks;Tim Allen;Joan Cusack;Ned Beatty;Don Rickles;Michael Keaton;Wallace Shawn;John Ratzenberger;Estelle Harris;John Morris;Jodi Benson;Emily Hahn;Laurie Metcalf;Blake Clark;Teddy Newton
102,Jagten ,Drama,10 January 2013,8.3,ThomasVinterberg,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm;Susse Wold;Anne Louise Hassing;Lars Ranthe;Alexandra Rapaport;Sebastian Bull Sarning;Steen Ordell Guldbrand Jensen;Daniel Engstrup;Troels Thorsen;Søren Rønholt;Hana Shuan;Jytte Kvinesdal,3800000.0,115.0,18309793.0,Drama 8.3 ThomasVinterberg Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm;Susse Wold;Anne Louise Hassing;Lars Ranthe;Alexandra Rapaport;Sebastian Bull Sarning;Steen Ordell Guldbrand Jensen;Daniel Engstrup;Troels Thorsen;Søren Rønholt;Hana Shuan;Jytte Kvinesdal
103,Snatch ,"Comedy; 
Crime",1 September 2000,8.3,GuyRitchie,Benicio Del Toro;Dennis Farina;Vinnie Jones;Brad Pitt;Rade Serbedzija;Jason Statham;Alan Ford;Mike Reid;Robbie Gee;Lennie James;Ewen Bremner;Jason Flemyng;Ade;William Beck;Andy Beckwith,,104.0,83557872.0,"Comedy; 
Crime 8.3 GuyRitchie Benicio Del Toro;Dennis Farina;Vinnie Jones;Brad Pitt;Rade Serbedzija;Jason Statham;Alan Ford;Mike Reid;Robbie Gee;Lennie James;Ewen Bremner;Jason Flemyng;Ade;William Beck;Andy Beckwith"
104,Scarface ,"Crime; 
Drama",9 December 1983,8.3,BrianDePalma,Al Pacino;Steven Bauer;Michelle Pfeiffer;Mary Elizabeth Mastrantonio;Robert Loggia;Miriam Colon;F. Murray Abraham;Paul Shenar;Harris Yulin;Ángel Salazar;Arnaldo Santana;Pepe Serna;Michael P. Moran;Al Israel;Dennis Holahan,25000000.0,170.0,65884703.0,"Crime; 
Drama 8.3 BrianDePalma Al Pacino;Steven Bauer;Michelle Pfeiffer;Mary Elizabeth Mastrantonio;Robert Loggia;Miriam Colon;F. Murray Abraham;Paul Shenar;Harris Yulin;Ángel Salazar;Arnaldo Santana;Pepe Serna;Michael P. Moran;Al Israel;Dennis Holahan"
